,QUARTER,TIME_REMAINING,UTAH_ACTION,MEMPHIS_ACTION,UTAH_SCORE,MEMPHIS_SCORE
0,1,11:42.0,,J. Valančiūnas misses 2-pt hook shot from 3 ft (block by R. Gobert),0,0
1,1,11:38.0,Defensive rebound by R. O'Neale,,0,0
2,1,11:35.0,Personal foul by J. Holiday (drawn by D. Mitchell),,0,0
3,1,11:29.0,J. Ingles misses 3-pt jump shot from 25 ft (block by J. Holiday),,0,0
4,1,11:26.0,,Defensive rebound by J. Noah,0,0
5,1,11:23.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by M. Conley),0,3
6,1,10:55.0,J. Ingles misses 3-pt jump shot from 25 ft,,0,3
7,1,10:52.0,,Defensive rebound by J. Valančiūnas,0,3
8,1,10:40.0,,Turnover by J. Holiday (bad pass),0,3
9,1,10:23.0,D. Favors makes 3-pt jump shot from 23 ft (assist by D. Mitchell),,3,3
10,1,10:08.0,,J. Holiday makes 2-pt dunk at rim (assist by J. Noah),3,5
11,1,9:51.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by J. Ingles),,6,5
12,1,9:38.0,,M. Conley misses 3-pt jump shot from 25 ft,6,5
13,1,9:35.0,Defensive rebound by D. Mitchell,,6,5
14,1,9:23.0,R. O'Neale misses 3-pt jump shot from 23 ft,,6,5
15,1,9:21.0,,Defensive rebound by J. Noah,6,5
16,1,9:06.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by J. Noah),6,8
17,1,8:50.0,D. Mitchell makes 3-pt jump shot from 26 ft,,9,8
18,1,8:32.0,,Turnover by A. Bradley (bad pass; steal by D. Favors),9,8
19,1,8:25.0,R. O'Neale misses 3-pt jump shot from 23 ft,,9,8
20,1,8:22.0,,Defensive rebound by Team,9,8
21,1,8:04.0,,J. Valančiūnas makes 2-pt jump shot from 21 ft (assist by J. Noah),9,10
22,1,7:52.0,Shooting foul by J. Noah (drawn by R. Gobert),,9,10
23,1,7:52.0,R. Gobert misses free throw 1 of 2,,9,10
24,1,7:52.0,Offensive rebound by Team,,9,10
25,1,7:52.0,R. Gobert makes free throw 2 of 2,,10,10
26,1,7:36.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),10,13
27,1,7:22.0,D. Favors misses 3-pt jump shot from 23 ft,,10,13
28,1,7:19.0,,Defensive rebound by J. Noah,10,13
29,1,7:14.0,,Personal foul by R. O'Neale (drawn by M. Conley),10,13
30,1,7:14.0,J. Crowder enters the game for D. Favors,,10,13
31,1,7:14.0,K. Korver enters the game for J. Ingles,,10,13
32,1,7:14.0,,B. Caboclo enters the game for J. Noah,10,13
33,1,6:58.0,,J. Valančiūnas misses 2-pt hook shot from 4 ft,10,13
34,1,6:55.0,Defensive rebound by J. Crowder,,10,13
35,1,6:38.0,J. Crowder misses 3-pt jump shot from 26 ft,,10,13
36,1,6:35.0,,Defensive rebound by J. Holiday,10,13
37,1,6:26.0,,Personal foul by R. Gobert (drawn by J. Valančiūnas),10,13
38,1,6:26.0,,Memphis full timeout,10,13
39,1,6:14.0,,J. Valančiūnas makes 2-pt dunk from 1 ft,10,15
40,1,5:52.0,Shooting foul by J. Holiday (drawn by D. Mitchell),,10,15
41,1,5:52.0,D. Mitchell misses free throw 1 of 2,,10,15
42,1,5:52.0,Offensive rebound by Team,,10,15
